filename,sentence,age,gender,accents,variant,demog_group,bucket,duration_s
common_voice_bn_30614355,চীনের জনসংখ্যা অতি ধীরগতিতে বাড়ছে।,thirties,male_masculine,,,,,
common_voice_bn_30620257,তার বাবা আবদুল কাদির ও মা ফাতেমা খাতুন।,twenties,male_masculine,রাঢ়ী,,,,
common_voice_bn_30648538,প্রসব-পূর্ববর্তী যত্নের পরিমাণের সাথে আয়ের দৃঢ়ভাবে সম্পৃক্ততা রয়েছে।,twenties,male_masculine,,,,,
common_voice_bn_30648574,বর্তমানে এটি পাট ব্যবসার একটি প্রধান কেন্দ্র।,twenties,male_masculine,,,,,
common_voice_bn_30648596,শেষে এই তিন সামন্ত শাসক কাবেরী নদী থেকে নর্মদা নদী পর্যন্ত প্রসারিত বিস্তীর্ণ অঞ্চল নিজেদের মধ্যে ভাগ করে নেয়।,twenties,male_masculine,,,,,
common_voice_bn_30661630,এরা মূলত ইন্দো-আর্য জনগোষ্ঠীর অন্তর্ভুক্ত।,,,Indian,,,,
common_voice_bn_30661706,"এক মেয়ে নাম মরিয়ম গণি, যিনি ব্রুকলিনের- একজন ভিজ্যুয়াল শিল্পী এবং তারিক নামের এক ছেলে রয়েছে।",twenties,male_masculine,Indian,,,,
common_voice_bn_30667395,এই ব্লকের সদর দফতরে কুমারজোলায় অবস্থিত।,,,Indian,,,,
common_voice_bn_30668970,তিনি পূর্বাঞ্চলীয় ইরানী প্রদেশ খোরাসানের বাসিন্দা ছিলেন।,twenties,male_masculine,Indian,,,,
common_voice_bn_30669015,নিজ গ্রামে ফতেহ মুহাম্মদ থানভীর কাছে ফার্সি ও আরবি ভাষার প্রাথমিক শিক্ষা গ্রহণ করেন।,twenties,male_masculine,Indian,,,,
common_voice_bn_30676853,অলিম্পিক সনদে উদ্বোধনী অনুষ্ঠানকে বাধ্যতামূলক করা হয়েছে।,twenties,male_masculine,Indian,,,,
common_voice_bn_30676860,লাও ভাষার কোন প্রতিষ্ঠিত প্রমিত রূপ নেই।,twenties,male_masculine,Indian,,,,
common_voice_bn_30676862,হরমোন আমাদের দেহে নানা অঙ্গ প্রত্যঙ্গ মধ্যে রাসায়নিক সংযোগ স্থাপনের কাজ করে।,twenties,male_masculine,Indian,,,,
common_voice_bn_30676937,ক্যানভাস ব্যাগ উপাদান হিসাবে ব্যবহার করা যেতে পারে যেখানে কম ব্যবহার এবং আর্দ্রতা রয়েছে।,twenties,male_masculine,Indian,,,,
